line_1,suburb,postal_code,state,country,location
"UNIT 5, 31-33 COOLANGATTA ROAD",COOLANGATTA,4225,QLD,AUSTRALIA,"{'longitude': 153.52677739, 'latitude': -28.16958127}"
"UNIT 3B, 973 GOLD COAST HIGHWAY",PALM BEACH,4221,QLD,AUSTRALIA,"{'longitude': 153.47612763, 'latitude': -28.12517309}"
3 FLORENCE COURT,SURFERS PARADISE,4217,QLD,AUSTRALIA,"{'longitude': 153.41548466, 'latitude': -28.01520101}"
"UNIT 5, 6 MEMORIAL AVENUE",MAROOCHYDORE,4558,QLD,AUSTRALIA,"{'longitude': 153.10208298, 'latitude': -26.6541746}"
"UNIT 2, 9 NAPPER ROAD",ARUNDEL,4214,QLD,AUSTRALIA,"{'longitude': 153.38256825, 'latitude': -27.95313064}"
4 TEMOE RISE,PACIFIC PINES,4211,QLD,AUSTRALIA,"{'longitude': 153.31786986, 'latitude': -27.92688539}"
891 CURRUMBIN CREEK ROAD,CURRUMBIN VALLEY,4223,QLD,AUSTRALIA,"{'longitude': 153.41424305, 'latitude': -28.18903142}"
18 ALSTONVILLE WAY,CURRIMUNDI,4551,QLD,AUSTRALIA,"{'longitude': 153.11931988, 'latitude': -26.77069632}"
"UNIT 1, 21 BLAXLAND STREET",GOLDEN BEACH,4551,QLD,AUSTRALIA,"{'longitude': 153.11844219, 'latitude': -26.81143007}"
"UNIT 5, 31 SIMPSONS ROAD",ELANORA,4221,QLD,AUSTRALIA,"{'longitude': 153.45237533, 'latitude': -28.14035268}"
"UNIT 2, 42 EAST QUAY DRIVE",BIGGERA WATERS,4216,QLD,AUSTRALIA,"{'longitude': 153.38644523, 'latitude': -27.92520559}"
41 EXPLORERS WAY,WORONGARY,4213,QLD,AUSTRALIA,"{'longitude': 153.34497973, 'latitude': -28.02109487}"
"UNIT 6, 20 SECOND AVENUE",MAROOCHYDORE,4558,QLD,AUSTRALIA,"{'longitude': 153.09523095, 'latitude': -26.65639768}"
1 MOUNTAIN ASH CRESCENT,STAPYLTON,4207,QLD,AUSTRALIA,"{'longitude': 153.23324046, 'latitude': -27.73560994}"
"UNIT 21509, 5 LAWSON STREET",SOUTHPORT,4215,QLD,AUSTRALIA,"{'longitude': 153.4136784, 'latitude': -27.97032884}"
20 FARRELL STREET,YANDINA,4561,QLD,AUSTRALIA,"{'longitude': 152.95677163, 'latitude': -26.56069674}"
"UNIT 1, 163 BRADMAN AVENUE",MAROOCHYDORE,4558,QLD,AUSTRALIA,"{'longitude': 153.07242485, 'latitude': -26.64235041}"
58 THE ESPLANADE,PARADISE POINT,4216,QLD,AUSTRALIA,"{'longitude': 153.3956107, 'latitude': -27.88388564}"
"UNIT 2602, 50 MARINE PARADE",SOUTHPORT,4215,QLD,AUSTRALIA,"{'longitude': 153.41599552, 'latitude': -27.9668648}"
"UNIT 3, 99 MUDJIMBA BEACH ROAD",MUDJIMBA,4564,QLD,AUSTRALIA,"{'longitude': 153.09017825, 'latitude': -26.61610964}"
"UNIT 21, 17 GREENSBORO PLACE",LITTLE MOUNTAIN,4551,QLD,AUSTRALIA,"{'longitude': 153.1064018, 'latitude': -26.77539678}"
"UNIT 2, 7 PHILLIP STREET",LABRADOR,4215,QLD,AUSTRALIA,"{'longitude': 153.40732859, 'latitude': -27.95131945}"
"UNIT 5803, 9 HAMILTON AVENUE",SURFERS PARADISE,4217,QLD,AUSTRALIA,"{'longitude': 153.42959415, 'latitude': -28.00628035}"
"UNIT 11, 2 MANTRA ESPLANADE",BIRTINYA,4575,QLD,AUSTRALIA,"{'longitude': 153.11867465, 'latitude': -26.74483936}"
67 JUBILANT WAY,PALMVIEW,4553,QLD,AUSTRALIA,"{'longitude': 153.06034856, 'latitude': -26.73394378}"
"UNIT 1005, 3 MAIN STREET",VARSITY LAKES,4227,QLD,AUSTRALIA,"{'longitude': 153.40802324, 'latitude': -28.07909521}"
"UNIT 16, 31 ARCHIPELAGO STREET",PACIFIC PINES,4211,QLD,AUSTRALIA,"{'longitude': 153.31982249, 'latitude': -27.94476682}"
7 CAULFIELD STREET,ROBINA,4226,QLD,AUSTRALIA,"{'longitude': 153.39735323, 'latitude': -28.05784456}"
36 COOK STREET,GOLDEN BEACH,4551,QLD,AUSTRALIA,"{'longitude': 153.11990698, 'latitude': -26.81317244}"
"UNIT 1, 3 DOOLOOMA STREET",MOUNTAIN CREEK,4557,QLD,AUSTRALIA,"{'longitude': 153.10404367, 'latitude': -26.70097681}"
"UNIT 2301, 27 BOARDWALK BOULEVARD",MOUNT COOLUM,4573,QLD,AUSTRALIA,"{'longitude': 153.09651636, 'latitude': -26.57059525}"
"UNIT 79, 13 MOOLOOLABA ESPLANADE",MOOLOOLABA,4557,QLD,AUSTRALIA,"{'longitude': 153.12019472, 'latitude': -26.68060974}"
8 SWEETGUM COURT,CURRIMUNDI,4551,QLD,AUSTRALIA,"{'longitude': 153.11662646, 'latitude': -26.76540978}"
"UNIT 1, 2 BOOBOOK COURT",BUDERIM,4556,QLD,AUSTRALIA,"{'longitude': 153.05794374, 'latitude': -26.70738845}"
77 POWER ROAD,BUDERIM,4556,QLD,AUSTRALIA,"{'longitude': 153.06288261, 'latitude': -26.71030368}"
