line_1,suburb,postal_code,state,country,location
21 UNWIN STREET,TEMPLESTOWE,3106,VIC,AUSTRALIA,"{'longitude': 145.12523592, 'latitude': -37.75286585}"
5 GLENNIE PLACE,INVERLOCH,3996,VIC,AUSTRALIA,"{'longitude': 145.74998301, 'latitude': -38.6275037}"
45 CUTTRISS STREET,INVERLOCH,3996,VIC,AUSTRALIA,"{'longitude': 145.74035219, 'latitude': -38.62917345}"
77 WOMMARA AVENUE,BELMONT NORTH,2280,NSW,AUSTRALIA,"{'longitude': 151.68340043, 'latitude': -33.01961153}"
2 BANKSIA ROAD,RISDON VALE,7016,TAS,AUSTRALIA,"{'longitude': 147.36095946, 'latitude': -42.81252413}"
3088 FIFTEENTH STREET,IRYMPLE,3498,VIC,AUSTRALIA,"{'longitude': 142.18209024, 'latitude': -34.24522504}"
355-359 PEPPERTREE DRIVE,JIMBOOMBA,4280,QLD,AUSTRALIA,"{'longitude': 153.04815493, 'latitude': -27.87147241}"
8 DORSET STREET,PIMPAMA,4209,QLD,AUSTRALIA,"{'longitude': 153.28646067, 'latitude': -27.81628294}"
32 JUBILANT WAY,PALMVIEW,4553,QLD,AUSTRALIA,"{'longitude': 153.05770956, 'latitude': -26.7340478}"
162 SPURWOOD ROAD,COW BAY,4873,QLD,AUSTRALIA,"{'longitude': 145.45258365, 'latitude': -16.23636892}"
8 GLENN STREET,MORAYFIELD,4506,QLD,AUSTRALIA,"{'longitude': 152.94366015, 'latitude': -27.10511018}"
16 FINCHLEY PLACE,GLENHAVEN,2156,NSW,AUSTRALIA,"{'longitude': 151.00463957, 'latitude': -33.7045426}"
18 MARSALA WAY,MERNDA,3754,VIC,AUSTRALIA,"{'longitude': 145.07202992, 'latitude': -37.60241596}"
5 TAMAR DRIVE,MELTON SOUTH,3338,VIC,AUSTRALIA,"{'longitude': 144.58080302, 'latitude': -37.69749881}"
"UNIT 4, 60 STUDLEY PARK ROAD",KEW,3101,VIC,AUSTRALIA,"{'longitude': 145.02057193, 'latitude': -37.80656884}"
180 STEPHEN STREET,YARRAVILLE,3013,VIC,AUSTRALIA,"{'longitude': 144.89343783, 'latitude': -37.82029998}"
56 EVE ROAD,BELLEVUE HEIGHTS,5050,SA,AUSTRALIA,"{'longitude': 138.58373379, 'latitude': -35.03352969}"
"UNIT 27, 11 KING ROAD",MOOLOOLAH VALLEY,4553,QLD,AUSTRALIA,"{'longitude': 152.96025026, 'latitude': -26.76639406}"
44 PARK WAY,CAMDEN PARK,2570,NSW,AUSTRALIA,"{'longitude': 150.70236632, 'latitude': -34.09725448}"
281 RIVER ROAD,SWAN HILL,3585,VIC,AUSTRALIA,"{'longitude': 143.56920667, 'latitude': -35.30676053}"
1 ELLIOT STREET,FITZROY,3065,VIC,AUSTRALIA,"{'longitude': 144.98229863, 'latitude': -37.79900789}"
10 MONTAGUE STREET,MICKLEHAM,3064,VIC,AUSTRALIA,"{'longitude': 144.90419446, 'latitude': -37.52952858}"
"UNIT 3, 107 ISABELLA STREET",GEELONG WEST,3218,VIC,AUSTRALIA,"{'longitude': 144.34047232, 'latitude': -38.1324575}"
50 NARIAH CRESCENT,TOORMINA,2452,NSW,AUSTRALIA,"{'longitude': 153.08165606, 'latitude': -30.35546448}"
94 WOODLAND HEATH DRIVE,INVERLOCH,3996,VIC,AUSTRALIA,"{'longitude': 145.72149859, 'latitude': -38.631316}"
